RoadID	segmentLength	NodeID1	NodeID2
1	3.973904	9655	10120
3	0.904665	9655	38014
7	0.974183	10120	38005
8	1.835582	10120	38003
11	0.437404	11561	38605
11	0.454849	12811	12476
11	0.495991	11864	11561
11	0.592959	38006	12811
11	0.956905	12476	11864
12	0.880103	11288	10862
12	1.195396	10862	10634
12	2.080379	38004	11288
14	0.893367	10862	38015
17	0.436959	11400	11288
17	0.851399	11667	11400
18	1.483851	11058	10803
18	1.907114	10803	38605
19	0.055315	12978	12943
19	0.074480	12943	43182
19	0.080393	13046	43183
19	0.119207	43183	12978
19	0.135260	43182	12820
19	0.144514	13228	13046
19	0.161879	13411	13228
19	0.330650	12820	38809
20	1.145644	12031	11400
22	0.424422	38019	11922
23	0.734417	38576	12145
27	0.052075	12477	12494
27	0.078551	12423	12477
27	0.090919	38023	12423
27	0.160681	12494	38024
30	0.767875	12559	12695
31	0.285395	12425	38480
32	0.024420	38009	13074
32	0.033441	12813	12772
32	0.051304	12772	12693
32	0.055413	12627	12545
32	0.074110	12545	12496
32	0.083239	12942	12813
32	0.086236	12693	12627
32	0.097304	13074	13045
32	0.132550	13045	12942
33	0.035137	12692	38534
33	0.050004	13106	993434
33	0.054800	38536	12905
33	0.086317	38541	13106
33	0.091737	12905	38541
33	0.097676	12562	12692
33	0.099322	38534	38536
34	0.044336	12518	43179
34	0.081985	43179	43174
34	0.191394	43174	38021
35	0.082922	13137	13264
35	0.190930	12940	13137
35	0.450660	12695	12559
35	0.505041	12811	12695
35	0.625535	13264	38002
35	0.718627	12559	12940
36	0.010001	41775	41776
36	0.017868	41774	41773
36	0.028454	43168	41774
36	0.047193	41776	43168
36	0.072224	38020	41775
36	0.086817	12815	12694
36	0.093878	41773	12815
36	0.125599	12694	12565
39	0.154361	43166	12627
40	0.304042	12692	12904
41	0.151612	12693	43163
42	0.191496	12694	38046
43	0.149220	12694	38533
44	0.099494	38534	38533
45	0.024937	40562	993442
46	0.212388	12817	43180
47	0.029665	12817	12816
47	0.056177	43177	43181
47	0.093094	43181	12817
47	0.216322	12816	38029
48	0.101514	13046	12977
48	1.044306	12977	38007
50	0.046505	12976	12904
50	0.087855	12904	12820
50	0.315104	38541	12976
51	0.151353	43164	12813
52	0.150403	12814	12651
53	0.140104	38038	12815
54	0.123080	12978	12816
55	0.148206	12815	38537
56	0.103220	38536	38537
57	0.012714	43170	38036
57	0.076970	12905	43170
58	0.157728	12942	43165
59	0.097982	13301	13224
59	0.114455	13073	12943
59	0.135643	13224	13073
60	0.119227	38037	41773
61	0.114833	41774	38045
62	0.231717	13073	12976
63	0.247504	12977	38054
64	1.038321	26794	26853
65	0.100755	38540	38541
66	0.099933	38540	41775
67	0.120165	38032	41776
68	0.039170	993429	13045
68	0.110203	38051	993429
69	0.140683	13073	43184
70	0.041724	13074	38043
71	0.075257	43169	13106
71	0.140483	13227	43169
72	0.359662	13137	38025
73	0.058692	13225	13228
73	0.143289	13224	13226
73	0.175564	13226	13225
74	0.069475	38031	40571
74	0.109742	40571	13225
75	0.103743	13226	38041
76	0.199980	13224	38047
77	0.189424	13227	13301
78	0.575847	13264	38011
80	0.091107	14405	43192
80	0.123370	41990	13888
80	0.138258	14332	14405
80	0.176458	43192	14291
80	0.267788	13411	41990
80	0.452456	14170	14332
80	0.462854	13888	14170
80	0.471484	14291	14290
81	0.027809	993435	993437
81	0.162700	13411	993435
81	0.749022	993437	38001
82	0.039106	26290	26297
82	0.053241	26347	26369
82	0.059472	26186	26216
82	0.118702	26430	26442
82	0.122904	26442	993248
82	0.123189	26216	26235
82	0.133621	26297	26347
82	0.148477	26420	26430
82	0.164745	26235	26290
82	0.177456	26369	26420
82	0.538845	26037	26186
83	2.602968	14290	13663
84	0.147938	38059	13706
84	0.167166	13706	13889
85	2.970100	29271	24
86	0.065575	38062	13662
87	0.102204	13662	13776
87	0.106627	13776	41772
88	0.100977	41992	41991
88	0.133890	13704	41992
90	0.166339	39954	38058
90	0.419289	13825	39954
91	0.041858	993062	13825
91	0.099628	13889	993062
92	0.036786	40978	14171
92	0.089219	13931	13888
92	0.099447	14259	40978
92	0.199732	14171	13931
92	0.203616	38008	14259
93	0.053068	38044	13931
94	0.060096	41772	38061
94	0.063184	38060	41772
95	0.020767	43194	43195
95	0.057758	14404	43194
95	0.078904	14289	14404
95	0.096381	43195	14511
95	0.146737	14170	14289
96	0.082584	38048	41993
96	0.148167	41993	14171
98	0.065352	15747	38016
98	0.066766	14289	15747
100	0.020487	16931	16956
