@RELATION digits

@ATTRIBUTE f0 NUMERIC
@ATTRIBUTE f1 NUMERIC
@ATTRIBUTE f2 NUMERIC
@ATTRIBUTE f3 NUMERIC
@ATTRIBUTE f4 NUMERIC
@ATTRIBUTE f5 NUMERIC
@ATTRIBUTE class {0,1,2,3,4,5,6,7,8,9}

@DATA
1.00000000,0.00000000,0.00000000,131.37286140,1.35867086,1638.35652561,0
1.00000000,0.00000000,0.00000000,134.01086140,1.27004236,1758.96875150,0
1.00000000,0.00000000,0.00000000,134.23586140,1.36023132,2267.90268354,0
1.00000000,0.00000000,0.00000000,131.55486140,1.29439272,1768.84941731,0
1.00000000,0.00000000,0.00000000,134.74686140,1.32258533,1753.23620453,0
1.00000000,0.00000000,0.00000000,133.46486140,1.29672601,1568.88156182,0
1.00000000,0.00000000,0.00000000,134.39086140,1.27943300,1651.89169277,0
1.00000000,0.00000000,0.00000000,123.23686140,1.36567763,2097.18858445,0
1.00000000,0.00000000,0.00000000,121.98686140,1.30344208,2022.70179812,0
1.00000000,0.00000000,0.00000000,127.07286140,1.18246997,1636.62870465,0
1.00000000,0.00000000,0.00000000,126.88286140,1.22768958,1707.51830767,0
1.00000000,0.00000000,0.00000000,131.93486140,1.25178142,1555.87773847,0
1.00000000,0.00000000,0.00000000,136.59886140,1.32717551,1711.67069672,0
1.00000000,0.00000000,0.00000000,129.16486140,1.26397632,1537.42377086,0
1.00000000,0.00000000,0.00000000,131.79486140,1.22374997,1713.43175073,0
1.00000000,0.00000000,0.00000000,132.40686140,1.29027876,1694.65938515,0
1.00000000,0.00000000,0.00000000,129.32986140,1.30631098,1847.24725887,0
1.00000000,0.00000000,0.00000000,125.44286140,1.29821497,1591.47252937,0
1.00000000,0.00000000,0.00000000,130.28086140,1.29855226,1705.01938724,0
1.00000000,0.00000000,0.00000000,129.09886140,1.27645432,1664.23939077,0
1.00000000,0.00000000,0.00000000,128.30486140,1.24511603,1543.95558114,0
1.00000000,0.00000000,0.00000000,131.48786140,1.36723077,1914.10705382,0
1.00000000,0.00000000,0.00000000,134.49086140,1.29597741,1728.13257460,0
1.00000000,0.00000000,0.00000000,132.59686140,1.31671428,1694.23106131,0
1.00000000,0.00000000,0.00000000,135.06086140,1.25204255,1652.29059625,0
1.00000000,0.00000000,0.00000000,132.61286140,1.27416914,1740.20785429,0
1.00000000,0.00000000,0.00000000,132.59686140,1.37410275,1632.04728114,0
1.00000000,0.00000000,0.00000000,134.82086140,1.36792542,1872.54454929,0
1.00000000,0.00000000,0.00000000,128.74286140,1.29212545,1698.45440055,0
1.00000000,0.00000000,0.00000000,127.81686140,1.46108193,1782.53740446,0
1.00000000,0.00000000,0.00000000,136.91286140,1.41217499,2092.47254395,0
1.00000000,0.00000000,0.00000000,121.57286140,1.24812543,1530.15115571,0
1.00000000,0.00000000,0.00000000,139.66686140,1.46325305,2154.43740639,0
1.00000000,0.00000000,0.00000000,131.25686140,1.26114043,1719.12560259,0
1.00000000,0.00000000,0.00000000,127.95686140,1.28914158,1586.72236440,0
1.00000000,0.00000000,0.00000000,122.30086140,1.25893879,1669.41773487,0
0.00000000,2.00000000,0.00000000,231.27686140,2.38707988,15215.96441229,0
1.00000000,0.00000000,0.00000000,131.53686140,1.35581875,1831.15225005,0
1.00000000,0.00000000,0.00000000,124.02086140,1.22100722,1454.97629311,0
1.00000000,0.00000000,0.00000000,129.40386140,1.31042281,1731.03157899,0
